,product_name,product_link,ingredient_name
0,Flora Buttery Spread with Natural Ingredients 1kg,https://groceries.asda.com/product/sunflower-lighter-spreads/flora-buttery-spread-with-natural-ingredients-1-kg/1000383209183,Ingredients:
1,Flora Buttery Spread with Natural Ingredients 450g,https://groceries.asda.com/product/spreads/flora-buttery-spread-with-natural-ingredients-450-g/1000383209199,Ingredients:
2,Flora Lighter Spread With Natural Ingredients 1kg,https://groceries.asda.com/product/sunflower-lighter-spreads/flora-lighter-spread-with-natural-ingredients-1-kg/1000383209877,Ingredients:
3,Flora Lighter Spread With Natural Ingredients 450g,https://groceries.asda.com/product/dairy-free-spreads-pastry/flora-lighter-spread-with-natural-ingredients-450-g/1000383209188,Ingredients:
4,Flora Original Spread with Natural Ingredients 1kg,https://groceries.asda.com/product/spreads/flora-original-spread-with-natural-ingredients-1-kg/1000383209196,Ingredients:
5,Flora Original Spread with Natural Ingredients 450g,https://groceries.asda.com/product/dairy-free-spreads-pastry/flora-original-spread-with-natural-ingredients-450-g/1000383213861,Ingredients:
6,Flora Buttery Spread with Natural Ingredients 250g,https://groceries.asda.com/product/dairy-free-spreads-pastry/flora-buttery-spread-with-natural-ingredients-250-g/1000383209166,Ingredients:
7,Flora Lighter Spread With Natural Ingredients 250g,https://groceries.asda.com/product/spreads/flora-lighter-spread-with-natural-ingredients-250-g/1000383209178,Ingredients:
8,Head & Shoulders Bare Soothing Hydration Anti-dandruff Shampoo. Minimal Ingredients. 400 ml,https://groceries.asda.com/product/shampoo/head-shoulders-bare-soothing-hydration-anti-dandruff-shampoo-minimal-ingredients-400-ml/1000383191165,Ingredients:
9,Yutaka Sushi Nori,https://groceries.asda.com/product/sushi-ingredients/yutaka-sushi-nori/910000339386,Ingredients:
10,Yutaka Sushi Rice,https://groceries.asda.com/product/sushi-ingredients/yutaka-sushi-rice/910000339161,Ingredients:
11,ASDA Water Chestnuts,https://groceries.asda.com/product/marinades-ingredients/asda-water-chestnuts/910002208586,Ingredients:
12,Yutaka White Miso Paste,https://groceries.asda.com/product/marinades-ingredients/yutaka-white-miso-paste/1000211259375,Ingredients:
13,ASDA Bamboo Shoots,https://groceries.asda.com/product/marinades-ingredients/asda-bamboo-shoots/910002208749,Ingredients:
14,ASDA 6 Large Free Range Eggs,https://groceries.asda.com/product/free-range-eggs/asda-6-large-free-range-eggs/20510,Ingredients:
15,Yutaka Wasabi Paste,https://groceries.asda.com/product/marinades-ingredients/yutaka-wasabi-paste/1000211259561,Ingredients:
16,Yutaka Mirin Sweet Rice Seasoning,https://groceries.asda.com/product/marinades-ingredients/yutaka-mirin-sweet-rice-seasoning/1000211259510,Ingredients:
17,Ajumma Republic Kimchi Korean Pickled Cabbage,https://groceries.asda.com/product/marinades-ingredients/ajumma-republic-kimchi-korean-pickled-cabbage/1000046413108,Ingredients:
18,Itsu Miso' Easy Traditional,https://groceries.asda.com/product/marinades-ingredients/itsu-miso-easy-traditional/1000351252664,Ingredients:
19,Itsu Miso' Easy Chilli Miso,https://groceries.asda.com/product/marinades-ingredients/itsu-miso-easy-chilli-miso/1000351252673,Ingredients:
20,YO! Korean Style Sweet Chill,https://groceries.asda.com/product/marinades-ingredients/yo-korean-style-sweet-chill/1000351252757,Ingredients:
21,Al Fez Natural Tahini Paste,https://groceries.asda.com/product/marinades-ingredients/al-fez-natural-tahini-paste/1000381817287,Ingredients:
22,KTC Sweetened Alphonso Mango Pulp,https://groceries.asda.com/product/indian-asian-cooking-ingredients/ktc-sweetened-alphonso-mango-pulp/78624856,Ingredients:
23,Bodrum Hulled Tahini Natural Sesame Seed Paste,https://groceries.asda.com/product/italian-mediterranean-cooking-ingredients/bodrum-hulled-tahini-natural-sesame-seed-paste/1000288781198,Ingredients:
24,East End Kasuri Methi Fenugreek,https://groceries.asda.com/product/indian-asian-cooking-ingredients/east-end-kasuri-methi-fenugreek/13852567,Ingredients:
25,ASDA Glace Cherries,https://groceries.asda.com/product/baking-nuts-seeds-fruit/asda-glace-cherries/21061,Ingredients:
26,ASDA Mixed Fruit,https://groceries.asda.com/product/baking-nuts-seeds-fruit/asda-mixed-fruit/1000000986349,Ingredients:
27,Rajah Masala Blends Chana Masala,https://groceries.asda.com/product/marinades-ingredients/rajah-masala-blends-chana-masala/1000312272679,Ingredients:
28,Rajah Masala Blends Chicken Masala,https://groceries.asda.com/product/marinades-ingredients/rajah-masala-blends-chicken-masala/1000312272397,Ingredients:
29,Rajah Masala Blends Achari Gosht,https://groceries.asda.com/product/marinades-ingredients/rajah-masala-blends-achari-gosht/1000312272244,Ingredients:
30,Rajah Masala Blends Biryani Masala,https://groceries.asda.com/product/marinades-ingredients/rajah-masala-blends-biryani-masala/1000312272198,Ingredients:
31,Laila Red Split Lentils,https://groceries.asda.com/product/indian-asian-cooking-ingredients/laila-red-split-lentils/1000319492815,Ingredients:
32,Indus Red Split Lentils,https://groceries.asda.com/product/indian-asian-cooking-ingredients/indus-red-split-lentils/1000000985330,Ingredients:
33,Goldfish Original Chinese Curry Sauce Concentrate,https://groceries.asda.com/product/indian-asian-cooking-ingredients/goldfish-original-chinese-curry-sauce-concentrate/910001475767,Ingredients:
34,Riya's Original Recipe Tandoori Masala Mix,https://groceries.asda.com/product/indian-asian-cooking-ingredients/riyas-original-recipe-tandoori-masala-mix/910002346770,Ingredients:
35,Double Happiness Mirin 150ml,https://groceries.asda.com/product/marinades-ingredients/double-happiness-mirin-150-ml/1000383167195,Ingredients:
36,Riya's Original Recipe Peri Peri Spice Mix,https://groceries.asda.com/product/indian-asian-cooking-ingredients/riyas-original-recipe-peri-peri-spice-mix/910002346668,Ingredients:
37,ASDA Light Brown Sugar 500g,https://groceries.asda.com/product/demerara-brown-sugar/asda-light-brown-sugar-500-g/1000116563989,Ingredients:
38,Winiary Mayonnaise Majonez,https://groceries.asda.com/product/eastern-european-meals-ingredients/winiary-mayonnaise-majonez/910001518977,Ingredients:
39,Riya's Original Recipe Masala Fish Coat & Fry Mix,https://groceries.asda.com/product/indian-asian-cooking-ingredients/riyas-original-recipe-masala-fish-coat-fry-mix/910002346748,Ingredients:
40,Prymat Roasted Onion,https://groceries.asda.com/product/eastern-european-meals-ingredients/prymat-roasted-onion/910002531990,Ingredients:
41,Bodrum Bodrum Crispy Fried Onion 75g,https://groceries.asda.com/product/italian-mediterranean-cooking-ingredients/bodrum-bodrum-crispy-fried-onion-75-g/1000383190137,Ingredients:
